year,Regional indicator,Happyness,GDP,Social,Health,Choices,Generosity,Corruption,Dystopia
2020,Central and Eastern Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Commonwealth of Independent States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,East Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Middle East and North Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,North America and ANZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,South Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Southeast Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Sub-Saharan Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Western Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Central and Eastern Europe,0.017156723541035042,0.1241851333149526,-0.2699153871719821,-0.24288321726221615,0.12828437563398604,0.04023185883173388,0.03448233293221093,0.22462083599808955
2021,Commonwealth of Independent States,0.016565291522722302,0.13989498338055215,-0.2720034091467694,-0.2594185922065456,0.13024795643145223,-0.046715638496150604,0.11937216390366118,0.23315466269382748
2021,East Asia,0.01653787235678794,0.10404587396855965,-0.289363808607865,-0.23502293334247668,0.11799907879055489,-0.09911374436277877,0.14295681448008166,0.28165236341976274
2021,Latin America and Caribbean,-0.012789613903828101,0.09760782491265202,-0.33271928271502355,-0.24320626465970152,0.05202081569843853,-0.056783579996237246,0.08026265652152254,0.18427277407303505
2021,Middle East and North Africa,0.002365951676333857,0.07021643070249749,-0.312228603810803,-0.2523112278820574,0.10481456959495983,-0.09753875837999584,0.031235070630346536,0.2660848243039874
2021,North America and ANZ,-0.0023762880092377385,0.11696810885524392,-0.26759232154537993,-0.22895899870657757,0.03478373623813739,-0.1368433966532687,-0.03533195295373746,0.21432219435806582
2021,South Asia,0.012623809264807563,0.15692487127414362,-0.3790688838354982,-0.2728575619600012,0.02934206402921224,-0.07048532278202356,0.009803500392225373,0.36814201927541124
2021,Southeast Asia,0.004493259732653131,0.09287511011934414,-0.32405677319519843,-0.2641182916166292,0.03699125326546457,-0.052851695823478324,-0.015158978894446526,0.33369332029357257
2021,Sub-Saharan Africa,0.02445705911708548,0.13657676394051851,-0.3816505626859879,-0.3495473471226221,0.07364252064209927,-0.0158240183758751,0.029895014203672732,0.23389446062315827
2021,Western Europe,0.00017570496624575306,0.12399809325592175,-0.2666743780540705,-0.22450331749462857,0.05180652647176466,-0.1737613155053285,0.012161357332776936,0.20272356787435025
2022,Central and Eastern Europe,0.02522721395373503,0.5242207542087965,-0.16427003953744793,-0.18368674509299043,0.20201160661658765,0.05851893745442296,0.29794197073719203,-0.08104255740464635
2022,Commonwealth of Independent States,0.05228990018840229,0.6968000755529136,-0.1569386246613574,-0.14306459353882195,0.19451490482716016,-0.24451948663985623,0.23067987652087088,-0.04832055005258927
2022,East Asia,0.02503509070261323,0.4703749554800826,-0.19225236316722438,-0.1901717651954041,0.2122340928858597,-0.29089453939109594,0.3675841653027566,-0.03508014708917858
2022,Latin America and Caribbean,-0.005159539562046547,0.5484553654824152,-0.2259333746819508,-0.16840587492674974,0.11163678454818023,-0.257295708976214,0.25716216013312093,-0.05699855090079057
2022,Middle East and North Africa,-0.013138859889007709,0.47650303946952355,-0.24019041853654102,-0.15165216484873015,0.15542153291476662,-0.30859824230725497,0.27693437268658955,-0.12469914030390224
2022,North America and ANZ,-0.005731054590123153,0.4602588089776491,-0.17146381374821099,-0.24817388546287025,0.07027471111447237,-0.2380192622470247,0.054184186783088,-0.06407673207702508
2022,South Asia,-0.019898911556476995,0.6804740225141445,-0.40791161150817046,-0.2398124449798241,-0.03426896239955936,-0.3106634735834108,0.17439444216149189,0.08221193045780983
2022,Southeast Asia,0.00897207614923044,0.5679677025006018,-0.24463274489045547,-0.1605064001740008,0.05621142719572704,-0.19044050658733483,0.1034695986478133,-0.029517843486721783
2022,Sub-Saharan Africa,0.02260519657680146,1.1301361787591262,-0.27377661196450304,-0.03827506233915862,0.0742100834433054,-0.19937485438602537,0.1368756749082926,-0.07733687354095939
2022,Western Europe,-0.002539695153039268,0.4608810229388879,-0.17731170989540349,-0.2046022075211259,0.09555254836842027,-0.32398653086799606,0.11998771777119248,-0.08384929383332973
2023,Central and Eastern Europe,0.03492542405713506,0.5269997490126869,0.06253826253195784,-0.4636585138271988,0.2648053404194044,0.11144488432714399,0.3013696343923077,-0.10437305977720032
2023,Commonwealth of Independent States,0.06570092665118415,0.6786945771823651,0.040149218361515526,-0.44727093650257393,0.2899713917432239,-0.24792913434683297,-0.0020266849559655805,-0.02731337644369928
2023,East Asia,0.03382823207540747,0.46426244491401003,0.031690794642284456,-0.45370720039497336,0.27505743561606294,-0.3118453825454499,0.3345507313582456,-0.04439978172675522
2023,Latin America and Caribbean,-0.0008172926008601769,0.5500573926359106,-0.003259081296944629,-0.46643797043222934,0.1654737115180674,-0.29191637023590966,0.20196650744132583,-0.0763383223998094
2023,Middle East and North Africa,-0.026425750970950287,0.5338460735474244,-0.05448417636773643,-0.44350721353195244,0.21123497394237262,-0.3625294455388887,0.24581246109279875,-0.20837168853866098
2023,North America and ANZ,-0.016307888115969713,0.45694814198833805,0.03017717522632665,-0.4986661364494512,0.0569655955358468,-0.2812297881776914,0.003633896108174814,-0.10421585912016945
2023,South Asia,-0.0966729302199626,0.6653310268168389,-0.298227999231811,-0.5695142924010931,-0.0036200133020603776,-0.3496608810678768,0.2124670799373007,-0.07880488842333236
2023,Southeast Asia,0.008889517321275051,0.5725826738626671,-0.035725177483261754,-0.48700249778863475,0.07848527361958269,-0.2361824331209652,0.047512722448634144,-0.039793279701212485
2023,Sub-Saharan Africa,0.0064931550579473635,1.0912142228648132,-0.047746670399826927,-0.5771382370096805,0.10581946013594605,-0.180040224938333,-0.03980574315359237,-0.10369776005430485
2023,Western Europe,-0.013241566211398284,0.45953992847358927,0.010921341391402696,-0.44707963048347804,0.12693556407689072,-0.29656446774623924,0.11318996896094442,-0.14210386864437435
2024,Central and Eastern Europe,0.04188306657381309,0.5087046998870752,0.05495891826356035,-0.2632680206153864,0.4332320886416266,0.012745145564501927,0.6578466545243534,-0.19139368193359066
2024,Commonwealth of Independent States,0.05570863782674075,0.7111007952803755,0.009564349076360553,-0.2074759326760255,0.4968228649141701,-0.23364108681283516,-0.03979691134535316,-0.16776479653771922
2024,East Asia,0.027994320972303637,0.43243523472514933,0.020143429784820362,-0.27430252780668307,0.49814440776004987,-0.2683320929171763,0.39621314138799957,-0.17555000249612907
2024,Latin America and Caribbean,0.029205711066397282,0.5255143366443626,0.0020123559108281962,-0.2614423491850741,0.34879589564675356,-0.3079512028193477,0.2552140782734106,-0.10383516898664927
2024,Middle East and North Africa,-0.01491835423033934,0.42489722109164646,-0.04277065030688087,-0.2512069943820473,0.3133955328924951,-0.3074276688492547,0.39608257968373406,-0.26952450244083653
2024,North America and ANZ,-0.03033267618328182,0.42689747239305326,0.002483009884761178,-0.33376747192272005,0.15789305534042394,-0.2896611103105043,0.023643386166994747,-0.2146363255898001
2024,South Asia,-0.16919746445558004,0.6242855384794052,-0.3860764479531544,-0.33160443659142735,0.16292521952963254,-0.3301621773256438,0.17439444216149189,-0.39386113070076717
2024,Southeast Asia,0.031304239111150566,0.5427724534428404,-0.03973366717469849,-0.2593727088024631,0.23673735990520084,-0.27030736243970527,0.10496178201312464,-0.10793181062709034
2024,Sub-Saharan Africa,-0.006762296557970922,1.0705358287086273,-0.07214242653436433,-0.1602682530644637,0.3315826805621201,-0.25501402241062876,0.04501803949061007,-0.23178873754105156
2024,Western Europe,-0.021178121707103023,0.43025042535147157,-0.005729475498139354,-0.2851406345258065,0.2561527537553274,-0.23844161656425464,0.130770353815034,-0.2547443006198465
